run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
repa_l0_256,400000,2,0.75,512,0.5400,0.5899,0.4130,0.4980,0.5899,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,3,0.75,512,0.5791,0.6418,0.4353,0.5294,0.6418,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,4,0.75,512,0.5630,0.5919,0.4192,0.5118,0.5919,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,5,0.75,512,0.5410,0.5898,0.4085,0.4918,0.5898,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,6,0.75,512,0.5244,0.5839,0.3998,0.4883,0.5839,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,7,0.75,512,0.5328,0.5634,0.3926,0.4671,0.5634,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,8,0.75,512,0.5447,0.5797,0.4122,0.4969,0.5797,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,9,0.75,512,0.5257,0.5801,0.4027,0.4900,0.5801,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,0,0.50,512,0.1049,0.1197,0.1053,0.1161,0.1197,39,T,0.7000,0.7222,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
repa_l0_256,400000,1,0.50,512,0.1532,0.1783,0.1370,0.1550,0.1783,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,
