run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
esm_repa_l4_128,248500,6,0.50,512,0.2257,0.2478,0.1861,0.2143,0.2478,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,7,0.50,512,0.2269,0.2482,0.1867,0.2082,0.2482,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,8,0.50,512,0.2174,0.2460,0.1836,0.2112,0.2460,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,9,0.50,512,0.2007,0.2393,0.1803,0.2054,0.2393,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,0,1.00,512,0.8233,0.8263,0.5572,0.7102,0.8263,39,T,0.5000,0.4815,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,1,1.00,512,0.7026,0.7462,0.4718,0.6077,0.7462,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,2,1.00,512,0.7036,0.7253,0.4433,0.5621,0.7253,39,T,0.9000,0.8519,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,3,1.00,512,0.7547,0.7570,0.4764,0.6128,0.7570,39,T,0.9000,0.8519,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,4,1.00,512,0.7072,0.7342,0.4606,0.5904,0.7342,39,T,0.9000,0.8519,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l9_128,266000,5,1.00,512,0.6819,0.7199,0.4606,0.5837,0.7199,39,T,0.9000,0.8519,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_128_per_residue/checkpoints/last-EMA.ckpt,
