n	run	N_gen	N_des_eval	N_des	des_p	des_ci_lo	des_ci_hi	des_ci_halfwidth	pdb_3bin	pdb_3bin_ci_lo	pdb_3bin_ci_hi	pdb_2d	pdb_2d_ci_lo	pdb_2d_ci_hi	pdb_3bin_des	pdb_3bin_des_ci_lo	pdb_3bin_des_ci_hi	pdb_2d_des	pdb_2d_des_ci_lo	pdb_2d_des_ci_hi
?	inference_fid_60m_repa_layer0_840k	5760	0	0	0.00000	0.00000	0.00067	0.00033	0.05744	0.05588	0.05908	0.33265	0.32409	0.34259	nan	nan	nan	nan	nan	nan
?	inference_fid_60m_repa_layer9	5760	0	0	0.00000	0.00000	0.00067	0.00033	0.05255	0.05124	0.05393	0.34747	0.33926	0.35660	nan	nan	nan	nan	nan	nan
?	inference_fid_60m_repa_layer9_840k	5760	0	0	0.00000	0.00000	0.00067	0.00033	0.04733	0.04605	0.04857	0.35460	0.34534	0.36462	nan	nan	nan	nan	nan	nan
?	repa_l0_128	200	100	54	0.54000	0.44265	0.63439	0.09587	0.03861	0.02475	0.05606	0.30658	0.26488	0.37359	0.07853	0.03854	0.13897	0.55101	0.52998	0.60802
?	repa_l0_256	240	100	1	0.01000	0.00177	0.05449	0.02636	0.03536	0.03066	0.04086	0.32905	0.28892	0.38573	0.22808	nan	nan	0.92118	nan	nan
?	repa_l0_512_sm	200	39	0	0.00000	0.00000	0.08967	0.04483	0.04806	0.04324	0.05313	0.42666	0.39577	0.47029	nan	nan	nan	nan	nan	nan
?	repa_l4_128	200	100	76	0.76000	0.66767	0.83309	0.08271	0.02209	0.01502	0.03047	0.19173	0.15825	0.25523	0.02127	0.01120	0.03459	0.23102	0.17753	0.34418
?	repa_l4_128_bs80	200	100	41	0.41000	0.31867	0.50799	0.09466	0.04405	0.02938	0.06143	0.30511	0.26510	0.37079	0.08757	0.03687	0.17866	0.52589	0.51810	0.55731
?	repa_l4_128_bs80	200	100	59	0.59000	0.49201	0.68133	0.09466	0.00018	0.00001	0.00223	0.14810	0.11789	0.20172	0.00240	0.00034	0.01217	0.27926	0.22766	0.38799
?	repa_l4_128_bs80_lr3x	200	100	50	0.50000	0.40383	0.59617	0.09617	0.04939	0.03667	0.06442	0.35662	0.31372	0.41903	0.05233	0.02822	0.08234	0.49727	0.45314	0.58452
?	repa_l4_128_bs80_lr3x	200	100	47	0.47000	0.37511	0.56711	0.09600	0.07761	0.06066	0.09628	0.42279	0.38163	0.48655	0.10300	0.06344	0.14009	0.54286	0.50893	0.61755
?	repa_l4_128_random	200	100	24	0.24000	0.16691	0.33233	0.08271	0.05520	0.04070	0.07157	0.31670	0.27287	0.37744	0.22565	0.20796	0.24447	0.77302	0.73600	0.85637
?	repa_l4_128_random	200	100	37	0.37000	0.28182	0.46780	0.09299	0.01251	0.00723	0.01973	0.22840	0.19099	0.28878	0.00291	0.00181	0.01678	0.35513	0.32088	0.46108
?	repa_l4_256	240	100	10	0.10000	0.05523	0.17437	0.05957	0.03394	0.02928	0.03922	0.37959	0.34215	0.43891	0.06390	0.03084	0.11814	0.56550	0.50987	0.72844
?	repa_l4_512_sm	200	89	0	0.00000	0.00000	0.04138	0.02069	0.07961	0.07229	0.08844	0.45136	0.42111	0.48894	nan	nan	nan	nan	nan	nan
?	repa_l9_128	200	100	77	0.77000	0.67845	0.84157	0.08156	0.07087	0.05769	0.08591	0.34739	0.30589	0.40740	0.09169	0.06816	0.11936	0.40698	0.34684	0.50526
?	repa_l9_256	240	100	18	0.18000	0.11700	0.26668	0.07484	0.04163	0.03476	0.04971	0.31227	0.27089	0.36584	0.04897	0.02653	0.08091	0.40304	0.32093	0.54355
?	repa_l9_512_sm	200	20	0	0.00000	0.00000	0.16113	0.08057	0.08009	0.07276	0.08777	0.49437	0.48950	0.50252	nan	nan	nan	nan	nan	nan
