variant,dataset,step_filter,rep_metric,gen_metric,n,pearson_r,pearson_p,spearman_r,spearman_p,partial_spearman_r_ctrl_step,partial_spearman_p_ctrl_step
xclean,PDB,0,cath_A_top1,_res_PDB_FID,129,-0.48848506606971465,4.28502584909389e-09,-0.5188967888796527,2.9824254364830996e-10,-0.23541180253156688,0.007240145116605077
xclean,PDB,0,cath_A_top1,_res_AFDB_FID,129,-0.4250578286064698,5.141655660064584e-07,-0.45385499940112906,6.595868883777416e-08,-0.1617172339810111,0.06710827218814536
xclean,PDB,0,cath_A_top1,_res_designability_rate,129,0.5322007753171566,8.536661117902629e-11,0.5382150141467076,4.762515829566335e-11,0.2744308839596222,0.0016481371469242443
xclean,PDB,0,cath_T_top1,_res_PDB_FID,129,-0.5088503810567281,7.40530864711023e-10,-0.47147414573581803,1.7046805170042676e-08,-0.1697461870446516,0.05445979400361887
xclean,PDB,0,cath_T_top1,_res_AFDB_FID,129,-0.45905171989928656,4.4605094946160576e-08,-0.41009995720361375,1.389243474542353e-06,-0.10634494247709929,0.23033565387097166
xclean,PDB,0,cath_T_top1,_res_designability_rate,129,0.5456216871666308,2.28427813896519e-11,0.5178919601542453,3.270812432577757e-10,0.25488993757173894,0.0035554665181562204
xclean,PDB,0,if_top1_acc,_res_PDB_FID,129,-0.5526810048810538,1.115021765878474e-11,-0.5264514766043784,1.4755657626727438e-10,-0.3312868791925469,0.00012559137266675502
xclean,PDB,0,if_top1_acc,_res_AFDB_FID,129,-0.48408948845164973,6.166794676263275e-09,-0.48441319472021904,6.004708190991643e-09,-0.2803803118213456,0.0012894404310009075
xclean,PDB,0,if_top1_acc,_res_designability_rate,129,0.6912037282925637,1.231933473721742e-19,0.6482358531932387,1.0014407081600295e-16,0.5308460268210515,9.720632776397467e-11
xclean,PDB,0,dih_mae_total_deg,_res_PDB_FID,129,0.47627082904593027,1.1637006253929796e-08,0.47404621219651183,1.3901253985542916e-08,0.4057133494534603,1.8427642281887372e-06
xclean,PDB,0,dih_mae_total_deg,_res_AFDB_FID,129,0.4205108731625461,6.990913423557845e-07,0.44826295630826246,9.975942497558097e-08,0.36042960275670644,2.7195306337266087e-05
xclean,PDB,0,dih_mae_total_deg,_res_designability_rate,129,-0.5432433148921056,2.8977499221028673e-11,-0.518205945413178,3.1779256802651717e-10,-0.4703141265315757,1.8679236025811903e-08
xclean,PDB,200000,cath_C_top1,_res_PDB_FID,111,-0.219591940473232,0.020574880392047235,-0.12963751470658766,0.17507216888721225,-0.14458853895153462,0.13001100571923307
xclean,PDB,200000,cath_C_top1,_res_AFDB_FID,111,-0.1410985899190402,0.1396384901974769,-0.08894305657438399,0.35324832416910346,-0.09035379469277897,0.3456342934409524
xclean,PDB,200000,cath_C_top1,_res_designability_rate,111,0.3238889934258759,0.0005248927674097521,0.11035882772908798,0.24888308410085816,0.11901439217899637,0.21345264701145156
xclean,PDB,200000,cath_A_top1,_res_PDB_FID,111,-0.4296708039286211,2.5261201554091307e-06,-0.40492455572763886,1.0424023561420048e-05,-0.22973657817784782,0.01528469965981528
xclean,PDB,200000,cath_A_top1,_res_AFDB_FID,111,-0.335833074024293,0.00031406925478392626,-0.33572766832342427,0.00031552479247006366,-0.1665127915787148,0.08069320422254493
