run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
baseline,650000,6,1.00,512,nan,0.9225,0.6629,0.8343,0.9225,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
baseline,650000,7,1.00,512,nan,0.9223,0.6616,0.8260,0.9223,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
baseline,650000,8,1.00,512,nan,0.9170,0.6569,0.8250,0.9170,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
baseline,650000,9,1.00,512,nan,0.9017,0.6271,0.7984,0.9017,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000009_step=000000650000-EMA.ckpt,
baseline,740000,0,1.00,512,nan,0.9427,0.6714,0.8452,0.9427,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
baseline,740000,1,1.00,512,nan,0.9371,0.6536,0.8271,0.9371,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
baseline,740000,2,1.00,512,nan,0.9302,0.6571,0.8289,0.9302,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
baseline,740000,3,1.00,512,nan,0.9221,0.6490,0.8231,0.9221,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
baseline,740000,4,1.00,512,nan,0.9205,0.6589,0.8209,0.9205,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
baseline,740000,5,1.00,512,nan,0.9138,0.6441,0.8139,0.9138,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
baseline,740000,6,1.00,512,nan,0.9265,0.6618,0.8278,0.9265,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
baseline,740000,7,1.00,512,nan,0.9212,0.6578,0.8186,0.9212,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
baseline,740000,8,1.00,512,nan,0.9122,0.6473,0.8050,0.9122,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
baseline,740000,9,1.00,512,nan,0.8922,0.6185,0.7839,0.8922,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000010_step=000000740000-EMA.ckpt,
repa_l4,10000,0,1.00,512,nan,0.8726,0.5907,0.7477,0.8726,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,10000,1,1.00,512,nan,0.8668,0.5855,0.7394,0.8668,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,10000,2,1.00,512,nan,0.8540,0.5624,0.7223,0.8540,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,10000,3,1.00,512,nan,0.8137,0.5338,0.6801,0.8137,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,10000,4,1.00,512,nan,0.8186,0.5335,0.6835,0.8186,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,10000,5,1.00,512,nan,0.8203,0.5382,0.6802,0.8203,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,10000,6,1.00,512,nan,0.8188,0.5247,0.6731,0.8188,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,10000,7,1.00,512,nan,0.8174,0.5174,0.6635,0.8174,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,10000,8,1.00,512,nan,0.8089,0.5081,0.6591,0.8089,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,10000,9,1.00,512,nan,0.7570,0.4955,0.6278,0.7570,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000010000-EMA.ckpt,
repa_l4,20000,0,1.00,512,nan,0.8900,0.6023,0.7550,0.8900,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,20000,1,1.00,512,nan,0.8896,0.6086,0.7588,0.8896,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,20000,2,1.00,512,nan,0.8527,0.5678,0.7271,0.8527,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,20000,3,1.00,512,nan,0.8363,0.5547,0.7084,0.8363,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,20000,4,1.00,512,nan,0.8339,0.5468,0.7003,0.8339,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,20000,5,1.00,512,nan,0.8352,0.5450,0.6919,0.8352,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,20000,6,1.00,512,nan,0.8210,0.5294,0.6717,0.8210,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,20000,7,1.00,512,nan,0.8006,0.5211,0.6617,0.8006,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,20000,8,1.00,512,nan,0.7862,0.5123,0.6543,0.7862,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,20000,9,1.00,512,nan,0.7435,0.4817,0.6069,0.7435,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000020000-EMA.ckpt,
repa_l4,40000,0,1.00,512,nan,0.9050,0.6198,0.7816,0.9050,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,40000,1,1.00,512,nan,0.8901,0.6023,0.7670,0.8901,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,40000,2,1.00,512,nan,0.8790,0.5873,0.7456,0.8790,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,40000,3,1.00,512,nan,0.8421,0.5466,0.6970,0.8421,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,40000,4,1.00,512,nan,0.8439,0.5520,0.6976,0.8439,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,40000,5,1.00,512,nan,0.8343,0.5501,0.7008,0.8343,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,40000,6,1.00,512,nan,0.8139,0.5410,0.6838,0.8139,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,40000,7,1.00,512,nan,0.8110,0.5412,0.6835,0.8110,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,40000,8,1.00,512,nan,0.8039,0.5305,0.6753,0.8039,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,40000,9,1.00,512,nan,0.7859,0.5074,0.6540,0.7859,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000040000-EMA.ckpt,
repa_l4,80000,0,1.00,512,nan,0.9253,0.6469,0.8201,0.9253,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000080000-EMA.ckpt,
repa_l4,80000,1,1.00,512,nan,0.9214,0.6367,0.8088,0.9214,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000080000-EMA.ckpt,
repa_l4,80000,2,1.00,512,nan,0.9203,0.6205,0.7923,0.9203,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000000_step=000000080000-EMA.ckpt,
