run,step,layer,t,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,dim,ckpt_path,train_manifest,eval_manifest
repa_l9_128,400000,8,1.0,mlp,5000,500,490,0.8782692742308297,0.7811183074348966,0.6377184509135306,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l9_128,400000,9,1.0,mlp,5000,500,490,0.880643004304826,0.7844956219845062,0.6385870164135361,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,0,1.0,mlp,5000,500,490,0.9245704527282202,0.8518439961761334,0.7082764981862695,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,1,1.0,mlp,5000,500,490,0.9260241947693882,0.8526054774823323,0.7075000332659325,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,2,1.0,mlp,5000,500,490,0.9302759120426398,0.8589157840076393,0.7152840409531867,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,3,1.0,mlp,5000,500,490,0.9285167174340447,0.8522260616415658,0.7068227433650196,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,4,1.0,mlp,5000,500,490,0.9280514537774025,0.8527930954223141,0.7079853777000812,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,5,1.0,mlp,5000,500,490,0.9190965546057631,0.8382982816654001,0.6916364285536281,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,6,1.0,mlp,5000,500,490,0.9039112244420778,0.8202209811283888,0.6765309093498305,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,7,1.0,mlp,5000,500,490,0.9015092609714929,0.816965735125769,0.6727119296793884,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,8,1.0,mlp,5000,500,490,0.9023243521190228,0.8163885763674401,0.6735445882327861,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l0_128,87500,9,1.0,mlp,5000,500,490,0.9094576747149673,0.826356810452805,0.6822568558824781,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l4_128,248500,0,1.0,mlp,5000,500,490,0.928372375289529,0.8575108712464983,0.7112593784512733,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l4_128,248500,1,1.0,mlp,5000,500,490,0.9249505549631026,0.8480402779099311,0.7003398666949587,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l4_128,248500,2,1.0,mlp,5000,500,490,0.8964739847116396,0.8059999823832723,0.656523822047213,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l4_128,248500,3,1.0,mlp,5000,500,490,0.896103660906158,0.8020253322178946,0.6556521745301614,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l4_128,248500,4,1.0,mlp,5000,500,490,0.9054808218675882,0.8224555495989168,0.6769531576387022,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l4_128,248500,5,1.0,mlp,5000,500,490,0.8992411216325439,0.8116712142813447,0.6662177200979522,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l4_128,248500,6,1.0,mlp,5000,500,490,0.8872811299917386,0.7961553367532358,0.6518599854338799,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
esm_repa_l4_128,248500,7,1.0,mlp,5000,500,490,0.8776839181064479,0.7842289471985133,0.6418833338405425,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,train_v1,eval_v1
